Crop,Year,Total_Yield (t),Total_Biomass (t),Crop_Residue (t)
Potato,2000,61.88766034523098,82.51688046030797,20.629220115076997
Barley,2000,99.65409923226238,166.09016538710398,66.4360661548416
Grass,2000,17982.45759401113,29970.762656685223,11988.30506267409
Potato,2001,57.7314839877495,76.97531198366599,19.243827995916494
Barley,2001,79.30090743765118,132.16817906275196,52.8672716251008
Grass,2001,16659.7646774171,27766.274462361835,11106.509784944736
Potato,2002,50.563247249647496,67.41766299953,16.854415749882495
Barley,2002,86.18848004350079,143.64746673916798,57.45898669566719
Grass,2002,16063.854219170591,26773.09036528432,10709.23614611373
Potato,2003,64.05642636080098,85.40856848106799,21.352142120266997
Barley,2003,86.4952443206208,144.158740534368,57.6634962137472
Grass,2003,15309.115985024599,25515.193308374335,10206.077323349735
Potato,2004,63.66561840727049,84.88749120969399,21.2218728024235
Barley,2004,71.82440468300159,119.70734113833599,47.88293645533441
Grass,2004,16869.675516777912,28116.125861296518,11246.450344518606
Potato,2005,52.31478011645099,69.75304015526798,17.438260038816995
Barley,2005,87.117767396352,145.19627899391998,58.078511597567996
Grass,2005,18538.950101669063,30898.250169448438,12359.300067779377
Potato,2006,46.443552482189986,61.92473664291999,15.48118416073
Barley,2006,76.06492945833597,126.77488243055997,50.709952972223995
Grass,2006,18621.942817890038,31036.57136315006,12414.628545260024
Potato,2007,51.733812656994,68.978416875992,17.244604218998
Barley,2007,78.77642075049599,131.29403458416,52.517613833664
Grass,2007,17821.332825047837,29702.221375079724,11880.888550031888
Potato,2008,51.49081682182949,68.65442242910598,17.16360560727649
Barley,2008,73.6550419602816,122.758403267136,49.10336130685441
Grass,2008,18382.96217969909,30638.270299498483,12255.308119799394
Potato,2009,52.615207494932996,70.153609993244,17.538402498311
Barley,2009,75.41656528008959,125.694275466816,50.2777101867264
Grass,2009,16928.57025474867,28214.283757914447,11285.713503165778
Potato,2010,51.30223067963999,68.40297423951999,17.100743559879994
Barley,2010,73.2951072814464,122.15851213574399,48.86340485429759
Grass,2010,14030.672269356344,23384.453782260574,9353.78151290423
Potato,2011,64.30364023144648,85.73818697526197,21.43454674381549
Barley,2011,108.13606211197437,180.22677018662395,72.0907080746496
Grass,2011,19655.359919616312,32758.93319936052,13103.573279744207
Potato,2012,85.63900515583649,114.18534020778198,28.546335051945498
Barley,2012,91.7881833286656,152.980305547776,61.1921222191104
Grass,2012,18294.69001439508,30491.150023991802,12196.46000959672
Potato,2013,93.99644850940349,125.32859801253798,31.332149503134495
Barley,2013,104.47855266280317,174.13092110467196,69.65236844186879
Grass,2013,16774.329579664387,27957.215966107316,11182.886386442928
Potato,2014,73.3483459675785,97.797794623438,24.449448655859495
Barley,2014,98.98650333573117,164.97750555955196,65.99100222382079
Grass,2014,18883.58263139514,31472.637718991897,12589.055087596758
Potato,2015,97.01134530338398,129.34846040451197,32.337115101128
Barley,2015,103.10374471299838,171.839574521664,68.7358298086656
Grass,2015,19488.014360358553,32480.02393393092,12992.009573572368
Potato,2016,63.05935662652498,84.07914216869999,21.019785542175
Barley,2016,80.91899575401598,134.86499292335998,53.94599716934399
Grass,2016,18431.918882895177,30719.864804825298,12287.945921930119
Potato,2017,80.136631050207,106.848841400276,26.712210350069
Barley,2017,105.51367606187517,175.85612676979196,70.3424507079168
Grass,2017,18799.046768347238,31331.744613912066,12532.697845564828
Potato,2018,47.097831313324484,62.797108417765976,15.6992771044415
Barley,2018,46.261456006348794,77.10242667724799,30.840970670899193
Grass,2018,17682.22856443705,29470.380940728417,11788.152376291368
Potato,2019,68.18516560109698,90.913554134796,22.728388533699007
Barley,2019,101.68937099556477,169.482284992608,67.7929139970432
Grass,2019,19336.317193078823,32227.19532179804,12890.878128719218
Potato,2020,58.800845218951494,78.40112695860199,19.600281739650498
Barley,2020,79.52064556705918,132.53440927843195,53.01376371137278
Grass,2020,19385.72551414656,32309.542523577606,12923.817009431043
