Year,Species,Above_Ground_Biomass_t,Below_Ground_Biomass_t,Total_Biomass_t,Timber_Yield_t,Wood_Chip_t
2000,Norway Spruce,3412.5,682.5,4095,1624.3500000000001,406.0874999999999
2001,Norway Spruce,3412.5,682.5,4095,1624.3500000000001,406.0874999999999
2002,Norway Spruce,3412.5,682.5,4095,1624.3500000000001,406.0874999999999
2003,Norway Spruce,3412.5,682.5,4095,1624.3500000000001,406.0874999999999
2004,Norway Spruce,3412.5,682.5,4095,1624.3500000000001,406.0874999999999
2005,Norway Spruce,3412.5,682.5,4095,1624.3500000000001,406.0874999999999
2006,Norway Spruce,3412.5,682.5,4095,1624.3500000000001,406.0874999999999
2007,Norway Spruce,3412.5,682.5,4095,1624.3500000000001,406.0874999999999
2008,Norway Spruce,3412.5,682.5,4095,1624.3500000000001,406.0874999999999
2009,Norway Spruce,3412.5,682.5,4095,1624.3500000000001,406.0874999999999
2010,Norway Spruce,3412.5,682.5,4095,1624.3500000000001,406.0874999999999
2011,Norway Spruce,3412.5,682.5,4095,1624.3500000000001,406.0874999999999
2012,Norway Spruce,3412.5,682.5,4095,1624.3500000000001,406.0874999999999
2013,Norway Spruce,3412.5,682.5,4095,1624.3500000000001,406.0874999999999
2014,Norway Spruce,3412.5,682.5,4095,1624.3500000000001,406.0874999999999
2015,Norway Spruce,3412.5,682.5,4095,1624.3500000000001,406.0874999999999
2016,Norway Spruce,3412.5,682.5,4095,1624.3500000000001,406.0874999999999
2017,Norway Spruce,3412.5,682.5,4095,1624.3500000000001,406.0874999999999
2018,Norway Spruce,3412.5,682.5,4095,1624.3500000000001,406.0874999999999
2019,Norway Spruce,3412.5,682.5,4095,1624.3500000000001,406.0874999999999
2020,Norway Spruce,3412.5,682.5,4095,1624.3500000000001,406.0874999999999
2000,Scots Pine,4224,844.8000000000001,5068.8,1757.1840000000002,439.2959999999999
2001,Scots Pine,4224,844.8000000000001,5068.8,1757.1840000000002,439.2959999999999
2002,Scots Pine,4224,844.8000000000001,5068.8,1757.1840000000002,439.2959999999999
2003,Scots Pine,4224,844.8000000000001,5068.8,1757.1840000000002,439.2959999999999
2004,Scots Pine,4224,844.8000000000001,5068.8,1757.1840000000002,439.2959999999999
2005,Scots Pine,4224,844.8000000000001,5068.8,1757.1840000000002,439.2959999999999
2006,Scots Pine,4224,844.8000000000001,5068.8,1757.1840000000002,439.2959999999999
2007,Scots Pine,4224,844.8000000000001,5068.8,1757.1840000000002,439.2959999999999
2008,Scots Pine,4224,844.8000000000001,5068.8,1757.1840000000002,439.2959999999999
2009,Scots Pine,4224,844.8000000000001,5068.8,1757.1840000000002,439.2959999999999
2010,Scots Pine,4224,844.8000000000001,5068.8,1757.1840000000002,439.2959999999999
2011,Scots Pine,4224,844.8000000000001,5068.8,1757.1840000000002,439.2959999999999
2012,Scots Pine,4224,844.8000000000001,5068.8,1757.1840000000002,439.2959999999999
2013,Scots Pine,4224,844.8000000000001,5068.8,1757.1840000000002,439.2959999999999
2014,Scots Pine,4224,844.8000000000001,5068.8,1757.1840000000002,439.2959999999999
2015,Scots Pine,4224,844.8000000000001,5068.8,1757.1840000000002,439.2959999999999
2016,Scots Pine,4224,844.8000000000001,5068.8,1757.1840000000002,439.2959999999999
2017,Scots Pine,4224,844.8000000000001,5068.8,1757.1840000000002,439.2959999999999
2018,Scots Pine,4224,844.8000000000001,5068.8,1757.1840000000002,439.2959999999999
2019,Scots Pine,4224,844.8000000000001,5068.8,1757.1840000000002,439.2959999999999
2020,Scots Pine,4224,844.8000000000001,5068.8,1757.1840000000002,439.2959999999999
2000,Birch,2015.9999999999995,403.19999999999993,2419.2,725.7599999999999,181.4399999999999
2001,Birch,2015.9999999999995,403.19999999999993,2419.2,725.7599999999999,181.4399999999999
2002,Birch,2015.9999999999995,403.19999999999993,2419.2,725.7599999999999,181.4399999999999
2003,Birch,2015.9999999999995,403.19999999999993,2419.2,725.7599999999999,181.4399999999999
2004,Birch,2015.9999999999995,403.19999999999993,2419.2,725.7599999999999,181.4399999999999
2005,Birch,2015.9999999999995,403.19999999999993,2419.2,725.7599999999999,181.4399999999999
2006,Birch,2015.9999999999995,403.19999999999993,2419.2,725.7599999999999,181.4399999999999
2007,Birch,2015.9999999999995,403.19999999999993,2419.2,725.7599999999999,181.4399999999999
2008,Birch,2015.9999999999995,403.19999999999993,2419.2,725.7599999999999,181.4399999999999
2009,Birch,2015.9999999999995,403.19999999999993,2419.2,725.7599999999999,181.4399999999999
2010,Birch,2015.9999999999995,403.19999999999993,2419.2,725.7599999999999,181.4399999999999
2011,Birch,2015.9999999999995,403.19999999999993,2419.2,725.7599999999999,181.4399999999999
2012,Birch,2015.9999999999995,403.19999999999993,2419.2,725.7599999999999,181.4399999999999
2013,Birch,2015.9999999999995,403.19999999999993,2419.2,725.7599999999999,181.4399999999999
2014,Birch,2015.9999999999995,403.19999999999993,2419.2,725.7599999999999,181.4399999999999
2015,Birch,2015.9999999999995,403.19999999999993,2419.2,725.7599999999999,181.4399999999999
2016,Birch,2015.9999999999995,403.19999999999993,2419.2,725.7599999999999,181.4399999999999
2017,Birch,2015.9999999999995,403.19999999999993,2419.2,725.7599999999999,181.4399999999999
2018,Birch,2015.9999999999995,403.19999999999993,2419.2,725.7599999999999,181.4399999999999
2019,Birch,2015.9999999999995,403.19999999999993,2419.2,725.7599999999999,181.4399999999999
2020,Birch,2015.9999999999995,403.19999999999993,2419.2,725.7599999999999,181.4399999999999
