Year,Water_Body,Phytoplankton_t,Macrophytes_t,Fish_t,Total_Biomass_t
2000,Lakes,7.5,3000,15,3022.5
2001,Lakes,7.5,3000,15,3022.5
2002,Lakes,7.5,3000,15,3022.5
2003,Lakes,7.5,3000,15,3022.5
2004,Lakes,7.5,3000,15,3022.5
2005,Lakes,7.5,3000,15,3022.5
2006,Lakes,7.5,3000,15,3022.5
2007,Lakes,7.5,3000,15,3022.5
2008,Lakes,7.5,3000,15,3022.5
2009,Lakes,7.5,3000,15,3022.5
2010,Lakes,7.5,3000,15,3022.5
2011,Lakes,7.5,3000,15,3022.5
2012,Lakes,7.5,3000,15,3022.5
2013,Lakes,7.5,3000,15,3022.5
2014,Lakes,7.5,3000,15,3022.5
2015,Lakes,7.5,3000,15,3022.5
2016,Lakes,7.5,3000,15,3022.5
2017,Lakes,7.5,3000,15,3022.5
2018,Lakes,7.5,3000,15,3022.5
2019,Lakes,7.5,3000,15,3022.5
2020,Lakes,7.5,3000,15,3022.5
2000,Rivers,1.25,1000,5,1006.25
2001,Rivers,1.25,1000,5,1006.25
2002,Rivers,1.25,1000,5,1006.25
2003,Rivers,1.25,1000,5,1006.25
2004,Rivers,1.25,1000,5,1006.25
2005,Rivers,1.25,1000,5,1006.25
2006,Rivers,1.25,1000,5,1006.25
2007,Rivers,1.25,1000,5,1006.25
2008,Rivers,1.25,1000,5,1006.25
2009,Rivers,1.25,1000,5,1006.25
2010,Rivers,1.25,1000,5,1006.25
2011,Rivers,1.25,1000,5,1006.25
2012,Rivers,1.25,1000,5,1006.25
2013,Rivers,1.25,1000,5,1006.25
2014,Rivers,1.25,1000,5,1006.25
2015,Rivers,1.25,1000,5,1006.25
2016,Rivers,1.25,1000,5,1006.25
2017,Rivers,1.25,1000,5,1006.25
2018,Rivers,1.25,1000,5,1006.25
2019,Rivers,1.25,1000,5,1006.25
2020,Rivers,1.25,1000,5,1006.25
