Year,Month,Day,Julian_Day,1_Hold_Energy,2_Hold_Energy,3_Hold_Energy,4_Hold_Energy,5_Hold_Energy
2000,6.5136612021857925,15.756830601092895,183.5,0.41453129781420767,2.6985085606557377,9.744324754098361,2737572.064125748,2226384.8305995916
2001,6.526027397260274,15.72054794520548,183.0,0.4172613391780822,2.7091975956164385,9.771021534246575,2469183.993839452,1814524.3792801276
2002,6.526027397260274,15.72054794520548,183.0,0.4172613391780822,2.7091975956164385,9.771021534246575,2755760.825981589,2224473.2608455424
2003,6.526027397260274,15.72054794520548,183.0,0.4172613391780822,2.7091975956164385,9.771021534246575,2585151.091880997,2029812.7582292452
2004,6.5136612021857925,15.756830601092895,183.5,0.41453129781420767,2.6985085606557377,9.744324754098361,2752574.364673497,2051874.3957188262
2005,6.526027397260274,15.72054794520548,183.0,0.4172613391780822,2.7091975956164385,9.771021534246575,2333134.2393776984,2029605.9815949819
2006,6.526027397260274,15.72054794520548,183.0,0.4172613391780822,2.7091975956164385,9.771021534246575,2072227.7554273533,1867660.8277026576
2007,6.526027397260274,15.72054794520548,183.0,0.4172613391780822,2.7091975956164385,9.771021534246575,2588639.6206878796,2013109.2840959888
2008,6.5136612021857925,15.756830601092895,183.5,0.41453129781420767,2.6985085606557377,9.744324754098361,2429685.417264306,1977292.3477889204
2009,6.526027397260274,15.72054794520548,183.0,0.4172613391780822,2.7091975956164385,9.771021534246575,2406965.9958527344,1067330.223949324
2010,6.526027397260274,15.72054794520548,183.0,0.4172613391780822,2.7091975956164385,9.771021534246575,2355708.2662004163,1258355.8901675402
2011,6.526027397260274,15.72054794520548,183.0,0.4172613391780822,2.7091975956164385,9.771021534246575,2573495.756778301,1449381.5563733766
2012,6.5136612021857925,15.756830601092895,183.5,0.41453129781420767,2.6985085606557377,9.744324754098361,2336125.578554011,1635925.235627786
2013,6.526027397260274,15.72054794520548,183.0,0.4172613391780822,2.7091975956164385,9.771021534246575,2560458.7509985534,1831956.246771849
2014,6.526027397260274,15.72054794520548,183.0,0.4172613391780822,2.7091975956164385,9.771021534246575,2566724.7496842192,2233183.8095618994
2015,6.526027397260274,15.72054794520548,183.0,0.4172613391780822,2.7091975956164385,9.771021534246575,2242749.3335576,1786067.5586948718
2016,6.5136612021857925,15.756830601092895,183.5,0.41453129781420767,2.6985085606557377,9.744324754098361,2446596.9479403934,1957601.0140576034
2017,6.526027397260274,15.72054794520548,183.0,0.4172613391780822,2.7091975956164385,9.771021534246575,2616376.07918354,2110540.750273085
2018,6.526027397260274,15.72054794520548,183.0,0.4172613391780822,2.7091975956164385,9.771021534246575,2785577.407012822,2339273.197982568
2019,6.526027397260274,15.72054794520548,183.0,0.4172613391780822,2.7091975956164385,9.771021534246575,2658494.2710196166,2177956.4100026903
2020,6.498630136986302,15.715068493150685,183.0,0.415667,2.7059017347945207,9.771021534246575,2407266.8989960398,2152305.835649447
