Year,Total_Consumption
2000,367.5022084373654
2001,368.5065136127729
2002,368.1390848895348
2003,364.562778656044
2004,362.1132538377979
2005,361.96628234880126
2006,359.9086815016876
2007,359.5902432711325
2008,357.3366804428388
2009,354.20128867591643
2010,353.5889074716494
2011,352.63359279113917
2012,353.27046924505646
2013,353.2214787670938
2014,350.55149669796583
2015,349.91462024447253
2016,348.8368293184194
2017,346.6077617398767
2018,345.82391379837884
2019,343.42337947702845
2020,339.871568490144
