Cell_ID,Glacier_Volume_m3
614,956958.1037
620,798201.8884
844,208742.5769
857,206030.5526
963,4883558.276
1082,4612179.181
1086,197688.7863
1205,383563.8994
1221,363964.1156
1323,415748.6515
1324,3033858.959
1338,222140.8436
1341,6650861.259
1459,5824772.273
1460,74062.94835
1555,7405448.95
1556,14967241.37
1577,7085320.41
1656,241659.3291
1662,182123.8163
1793,2742060.918
1814,1284.290798
1889,521485.8283
2050,601598.7878
2165,290585.7441
2166,816218.7106
2169,475433.1584
2404,216638.3018
2844,11855553.72
2846,146452.0022
2958,178445.34
2960,404299.4332
2962,2929450.777
3076,25385131.86
3078,478239.7386
3087,3842157.485
3192,458858.115
3206,361039.0945
3207,8293607.683
3309,4670577.913
3310,30102204.26
3311,19689978.18
3322,56885573.81
3326,161532.8251
3428,2761316.023
3434,509602.1626
3435,1010975.297
3436,565738.2268
3437,492093.5088
3898,2693313.452
3901,114244385.2
3904,18942272.96
3917,241568.0371
4017,7510500.293
4138,65796.96395
4140,34942766.35
4142,252956.7226
4145,36185427.26
4148,71841544.64
4257,1160010.489
4265,12115830.18
4374,255684.2632
4377,219388.6472
4381,136828481.5
4492,1177338.687
4762,717259.9277
4764,455815.9079
4846,58078.53337
4847,6655029.562
4880,230735.2489
4967,15793861.96
5113,1255102.23
5232,11510931.15
5234,1752385.358
5235,459539.8299
5246,1887154.652
5248,939373.3489
5346,255764.1654
5348,104763.5511
5350,2059163.661
5362,334643.1889
5367,819614.5031
5439,613041.3593
5464,2729081.488
5465,3198524.762
5480,2813093.738
5579,11593227.98
5580,647008.9073
5596,657332.0686
5679,1358425.108
5681,3691853.515
5687,275985.9829
5712,3530636.033
5713,422733.111
5796,2146934.293
5799,781697.3475
5808,1187822.486
5809,3061195.783
5810,387003.0493
5812,56965231.24
5815,120020457.1
5823,415551.2658
5826,1505694.4
5827,1920351.067
5830,2378442.056
5911,585714.3446
5912,6333339.016
5918,13902770.27
5920,20854652.87
5923,134413.2082
5928,536790.377
5939,1235605.449
5944,1026504.198
5945,820983.6266
5946,1098829.551
5947,2303192.524
6036,5752985.111
6038,267911.6756
6058,34598271.88
6060,31976959.32
6061,274845.9297
6063,4117852.162
6093,894138.3496
6169,252613.6224
6171,34040.55567
6173,9386591.543
6174,1042647.243
6176,793910.5824
6179,341544.1541
6180,5959611.35
6209,112202.2899
6289,1239793.053
6290,24104796.93
6292,18740024.67
6295,594475.4249
6448,691707.8167
6526,2741223.812
6911,398107.0907
7027,110834.7334
7134,444632.5408
7247,1453046.206
7252,570349.3272
7366,3222927.706
7370,4462903.335
7379,12371399.59
7464,3606796.832
7488,268417.7429
7594,537348.754
7599,5354523.938
7600,11990155.75
7602,47705226.11
7605,54029221.87
7615,42258.55032
7712,2644515.82
7723,311009.4821
7828,671881.8229
7840,56494204.48
7947,15873205.87
7948,578574.8134
7954,2674210.398
7955,30020301.73
7964,1134082.984
8063,448463.5293
8065,12106449.74
8072,3411631.997
8082,268396.3129
8083,1840158.304
8184,127736.0014
8193,60742641.01
8196,448322.7093
8201,800480.4606
8202,1177039.148
8302,58698293.88
8308,49246516.12
8311,26486242.21
8319,5836053.86
8320,12968200.79
8418,50773024.37
8428,508467.4926
8538,1049746.324
8555,513306.0485
8556,24935468.69
8652,4855035.652
8653,50826587.43
8656,8350776.982
8663,2382446.4
8664,158086.5176
8670,262390.3392
8671,2769593.276
8774,4945616.248
8776,190052.6718
8777,276690.2825
8786,433620.5971
8789,22604273.45
8790,35937.00269
8889,125.4508771
8893,912495.9094
8904,78430.83087
8907,776555.2857
9020,8065522.315
9021,1927046.155
9024,8482.312177
9138,487551.786
9139,21538.30543
9142,21357.43654
9251,3109144.552
