Cell_ID,Mean_Volume
1904,2827243.07579987
1905,2827243.07579987
2020,2827243.07579987
2021,2827243.07579987
2022,2827243.07579987
2023,2827243.07579987
2139,2827243.07579987
2140,2827243.07579987
2141,2827243.07579987
2142,2827243.07579987
2143,2827243.07579987
2259,2827243.07579987
2260,2827243.07579987
2261,2827243.07579987
2262,2827243.07579987
2380,2827243.07579987
3461,0.0
3462,0.0
3580,0.0
3590,1811631.2795296754
3591,1811631.2795296754
3592,1811631.2795296754
3593,1811631.2795296754
3594,1811631.2795296754
3595,1811631.2795296754
3675,6051216.6445120135
3676,6051216.6445120135
3679,6051216.6445120135
3680,6051216.6445120135
3681,6051216.6445120135
3682,6051216.6445120135
3683,6051216.6445120135
3684,6051216.6445120135
3685,6051216.6445120135
3686,6051216.6445120135
3709,1811631.2795296754
3710,1811631.2795296754
3711,1811631.2795296754
3712,1811631.2795296754
3713,1811631.2795296754
3714,1811631.2795296754
3800,6051216.6445120135
3801,6051216.6445120135
3802,6051216.6445120135
3803,6051216.6445120135
3827,1811631.2795296754
3828,1811631.2795296754
3829,1811631.2795296754
3830,1811631.2795296754
3831,1811631.2795296754
3832,1811631.2795296754
5750,3249369.306109898
5751,3249369.306109898
5868,3249369.306109898
5869,3249369.306109898
5985,3249369.306109898
5986,3249369.306109898
5987,3249369.306109898
5988,3249369.306109898
6104,3249369.306109898
6105,3249369.306109898
6222,3249369.306109898
6223,3249369.306109898
6340,3249369.306109898
6341,3249369.306109898
6342,3249369.306109898
6458,3249369.306109898
6459,3249369.306109898
6460,3249369.306109898
6576,3249369.306109898
6577,3249369.306109898
6578,3249369.306109898
6695,3249369.306109898
6696,3249369.306109898
6814,3249369.306109898
