Crop,Year,Total_CWR_m3
Potato,2000,1614.3091848719998
Potato,2001,605.9706201459999
Potato,2002,2152.71441033
Potato,2003,3114.9710907319995
Potato,2004,1795.4455500459997
Potato,2005,1573.9213512999995
Potato,2006,1003.6249461979997
Potato,2007,828.8145645499999
Potato,2008,1645.4990762999998
Potato,2009,1129.655314626
Potato,2010,1406.5413674539996
Potato,2011,1277.507813862
Potato,2012,1037.1553087019997
Potato,2013,1121.8608955480001
Potato,2014,1295.88143484
Potato,2015,772.9132006179999
Potato,2016,2179.2265760639993
Potato,2017,1007.9745611599999
Potato,2018,1977.1935447439998
Potato,2019,1606.1457654319997
Potato,2020,2036.621042724
Barley,2000,949.3497944559999
Barley,2001,420.91768269599993
Barley,2002,1495.4260451760001
Barley,2003,2444.3848921520002
Barley,2004,1358.2829351839998
Barley,2005,1168.3760057759996
Barley,2006,506.95812008800004
Barley,2007,578.1264757519999
Barley,2008,925.8542368320002
Barley,2009,549.3605788719999
Barley,2010,1467.133076696
Barley,2011,1293.67510328
Barley,2012,570.9093930959999
Barley,2013,1050.452971232
Barley,2014,593.4906619039999
Barley,2015,435.7302674479999
Barley,2016,1376.8267110079998
Barley,2017,1015.0539190959998
Barley,2018,1523.6818585519998
Barley,2019,949.6741647119998
Barley,2020,2185.126003368
Grass,2000,632424.2071813578
Grass,2001,550683.660692815
Grass,2002,728308.633649823
Grass,2003,1025966.6951231069
Grass,2004,832593.3396523332
Grass,2005,652952.988782515
Grass,2006,674908.239026796
Grass,2007,711550.616409576
Grass,2008,598446.942592936
Grass,2009,677230.426919993
Grass,2010,530776.2636806
Grass,2011,539606.482314838
Grass,2012,356856.50966993393
Grass,2013,648020.0947696419
Grass,2014,541215.2506138808
Grass,2015,551700.862062831
Grass,2016,612988.169930442
Grass,2017,482288.85384955397
Grass,2018,706499.7814494208
Grass,2019,495997.26218738605
Grass,2020,509950.6994947355
