Specie,Year,Total_Consumption_m3
Spruce,2000,313903692.3277616
Spruce,2001,265139067.84843874
Spruce,2002,333206251.72894263
Spruce,2003,489895982.1797001
Spruce,2004,402961622.6164302
Spruce,2005,294608140.28316075
Spruce,2006,339297623.95732397
Spruce,2007,375994579.3887163
Spruce,2008,259944468.02868542
Spruce,2009,320747877.5535274
Spruce,2010,265053190.00441882
Spruce,2011,246248445.52288777
Spruce,2012,164397293.35072243
Spruce,2013,284542823.7466215
Spruce,2014,226599196.48446083
Spruce,2015,243439050.8931181
Spruce,2016,260499226.4223149
Spruce,2017,235866201.87613678
Spruce,2018,336229205.2265386
Spruce,2019,214940838.18298295
Spruce,2020,250689423.68257225
Pine,2000,1045354118.2612789
Pine,2001,882959402.0764877
Pine,2002,1109635012.2303078
Pine,2003,1631439180.2581298
Pine,2004,1341932579.9567173
Pine,2005,981096560.0134863
Pine,2006,1129920345.5998569
Pine,2007,1252127616.25471
Pine,2008,865660477.4476289
Pine,2009,1068146450.3897805
Pine,2010,882673413.8574644
Pine,2011,820050330.5135002
Pine,2012,547471698.5990248
Pine,2013,947577298.0543491
Pine,2014,754614899.5036161
Pine,2015,810694555.7398018
Pine,2016,867507919.7861377
Pine,2017,785475645.9265126
Pine,2018,1119701975.3316047
Pine,2019,715790530.2448744
Pine,2020,834839563.3954352
Birch,2000,1456410367.190523
Birch,2001,1247879208.000071
Birch,2002,1524906382.678438
Birch,2003,2232018191.7548223
Birch,2004,1868702183.7045407
Birch,2005,1372101395.941913
Birch,2006,1555521333.772316
Birch,2007,1673660115.5629785
Birch,2008,1253967293.9211228
Birch,2009,1474034487.4156675
Birch,2010,1213208986.8571029
Birch,2011,1137950732.76405
Birch,2012,763789756.6805927
Birch,2013,1313427202.0748901
Birch,2014,1063672625.678023
Birch,2015,1129828953.7455356
Birch,2016,1207006791.6373384
Birch,2017,1087609951.647292
Birch,2018,1550342867.2467868
Birch,2019,994055039.3599488
Birch,2020,1127182987.4205313
