Year,Total_Annual_Consumption
1999,
2000,2820303913.2500496
2001,2400541069.2684655
2002,2972487284.2586513
2003,4358353628.267165
2004,3618374215.0518007
2005,2652402273.2516274
2006,3029333804.1718745
2007,3306409884.1628737
2008,2384063340.0803246
2009,2867463674.3024564
2010,2365318523.578421
2011,2208630569.5231824
2012,1479863029.5047565
2013,2550042799.2581925
2014,2049246042.9765058
2015,2188324753.3291492
2016,2339428032.334501
2017,2113209395.2489
2018,3010748799.1568336
2019,1929023578.5738916
2020,2216926098.488772
